WIKI/FB,"Facebook Inc. (FB) Prices, Dividends, Splits and Trading Volume"
WIKI/GOOG,"Alphabet Inc (GOOG) Prices, Dividends, Splits and Trading Volume"
WIKI/MSFT,"Microsoft Corporation (MSFT) Prices, Dividends, Splits and Trading Volume"
WIKI/YHOO,"Yahoo! Inc. (YHOO) Prices, Dividends, Splits and Trading Volume"
WIKI/INTC,"Intel Corp (INTC) Prices, Dividends, Splits and Trading Volume"
WIKI/IBM,"International Business Machines Corp (IBM) Prices, Dividends, Splits and Trading Volume"
WIKI/LMT,"Lockheed Martin Corp. (LMT) Prices, Dividends, Splits and Trading Volume"
WIKI/CSCO,"Cisco Systems Inc. (CSCO) Prices, Dividends, Splits and Trading Volume"
WIKI/TWX,"Time Warner Inc (TWX) Prices, Dividends, Splits and Trading Volume"
WIKI/DIS,"Disney (Walt) Co. (The) (DIS) Prices, Dividends, Splits and Trading Volume"
WIKI/AAPL,"Apple Inc (AAPL) Prices, Dividends, Splits and Trading Volume"
WIKI/AMD,"Advanced Micro Devices Inc. (AMD) Prices, Dividends, Splits and Trading Volume"
WIKI/AMZN,"Amazon.com Inc. (AMZN) Prices, Dividends, Splits and Trading Volume"
WIKI/TWTR,"Twitter Inc (TWTR) Prices, Dividends, Splits and Trading Volume"
WIKI/COKE,"Coca-Cola Bottling Co. Consolidated (COKE) Prices, Dividends, Splits and Trading Volume"
WIKI/FURX,"Furiex Pharmaceuticals, Inc. (FURX) Prices, Dividends, Splits and Trading Volume"
WIKI/FFBH,"First Federal Bancshares of Arkansas, Inc. (FFBH) Prices, Dividends, Splits and Trading Volume"
WIKI/FDO,"Family Dollar Stores, Inc. (FDO) Prices, Dividends, Splits and Trading Volume"
WIKI/QEP,"QEP Resources, Inc. (QEP) Prices, Dividends, Splits and Trading Volume"
WIKI/CHTP,"Chelsea Therapeutics International, Ltd. (CHTP) Prices, Dividends, Splits and Trading Volume"
WIKI/VLCCF,"Knightsbridge Tankers Limited (VLCCF) Prices, Dividends, Splits and Trading Volume"
WIKI/RLOC,"ReachLocal Inc. (RLOC) Prices, Dividends, Splits and Trading Volume"
WIKI/HSH,"Hillshire Brands Company (The) (HSH) Prices, Dividends, Splits and Trading Volume"
WIKI/ELRC,"Electro Rent Corp. (ELRC) Prices, Dividends, Splits and Trading Volume"
WIKI/FMC,"FMC Corp. (FMC) Prices, Dividends, Splits and Trading Volume"
WIKI/PNNT,"PennantPark Investment Corporation (PNNT) Prices, Dividends, Splits and Trading Volume"
WIKI/BWLD,"Buffalo Wild Wings Inc. (BWLD) Prices, Dividends, Splits and Trading Volume"
WIKI/ALOG,"Analogic Corp (ALOG) Prices, Dividends, Splits and Trading Volume"
WIKI/WTR,"Aqua America Inc (WTR) Prices, Dividends, Splits and Trading Volume"
WIKI/ATW,"Atwood Oceanics Inc. (ATW) Prices, Dividends, Splits and Trading Volume"
WIKI/ARTNA,"Artesian Resources Corp. (ARTNA) Prices, Dividends, Splits and Trading Volume"
WIKI/BOH,"Bank of Hawaii Corp (BOH) Prices, Dividends, Splits and Trading Volume"
WIKI/BKU,"BankUnited Inc. (BKU) Prices, Dividends, Splits and Trading Volume"
WIKI/ACLS,"Axcelis Technologies Inc. (ACLS) Prices, Dividends, Splits and Trading Volume"
WIKI/BOKF,"BOK Financial Corp. (BOKF) Prices, Dividends, Splits and Trading Volume"
WIKI/BHLB,"Berkshire Hills Bancorp Inc. (BHLB) Prices, Dividends, Splits and Trading Volume"
WIKI/BC,"Brunswick Corp. (BC) Prices, Dividends, Splits and Trading Volume"
WIKI/WIFI,"Boingo Wireless Inc. (WIFI) Prices, Dividends, Splits and Trading Volume"
WIKI/CLMS,"Calamos Asset Management Inc (CLMS) Prices, Dividends, Splits and Trading Volume"
WIKI/CNC,"Centene Corp (CNC) Prices, Dividends, Splits and Trading Volume"
WIKI/CPK,"Chesapeake Utilities Corp. (CPK) Prices, Dividends, Splits and Trading Volume"
WIKI/CHEF,"The Chefs' Warehouse Inc. (CHEF) Prices, Dividends, Splits and Trading Volume"
WIKI/CGNX,"Cognex Corp. (CGNX) Prices, Dividends, Splits and Trading Volume"
WIKI/ENS,"Enersys (ENS) Prices, Dividends, Splits and Trading Volume"
WIKI/CCNE,"CNB Financial Corp. (Clearfield PA) (CCNE) Prices, Dividends, Splits and Trading Volume"
WIKI/CLW,"Clearwater Paper (CLW) Prices, Dividends, Splits and Trading Volume"
WIKI/ALCO,"Alico Inc. (ALCO) Prices, Dividends, Splits and Trading Volume"
WIKI/NIHD,"NII Holdings Inc. (NIHD) Prices, Dividends, Splits and Trading Volume"
WIKI/NAT,"Nordic American Tankers Ltd (NAT) Prices, Dividends, Splits and Trading Volume"
WIKI/RXN,"Rexnord (RXN) Prices, Dividends, Splits and Trading Volume"
WIKI/NVR,"NVR Inc. (NVR) Prices, Dividends, Splits and Trading Volume"
WIKI/PEGA,"Pegasystems Inc. (PEGA) Prices, Dividends, Splits and Trading Volume"
WIKI/PRXL,"PAREXEL International Corporation (PRXL) Prices, Dividends, Splits and Trading Volume"
WIKI/PTX,"Pernix Therapeutics Holdings Inc. (PTX) Prices, Dividends, Splits and Trading Volume"
WIKI/RSYS,"RadiSys Corporation (RSYS) Prices, Dividends, Splits and Trading Volume"
WIKI/PNFP,"Pinnacle Financial Partners Inc. (PNFP) Prices, Dividends, Splits and Trading Volume"
WIKI/PBH,"Prestige Brands Holdings Inc. (PBH) Prices, Dividends, Splits and Trading Volume"
WIKI/PII,"Polaris Industries Inc. (PII) Prices, Dividends, Splits and Trading Volume"
WIKI/PZN,"Pzena Investment Management Inc (PZN) Prices, Dividends, Splits and Trading Volume"
WIKI/RGC,"Regal Entertainment Group (RGC) Prices, Dividends, Splits and Trading Volume"
WIKI/QUAD,"Quad/Graphics Inc. (QUAD) Prices, Dividends, Splits and Trading Volume"
WIKI/RAVN,"Raven Industries Inc. (RAVN) Prices, Dividends, Splits and Trading Volume"
WIKI/RGA,"Reinsurance Group of America Inc. (RGA) Prices, Dividends, Splits and Trading Volume"
WIKI/CR,"Crane Co. (CR) Prices, Dividends, Splits and Trading Volume"
WIKI/CRIS,"Curis Inc. (CRIS) Prices, Dividends, Splits and Trading Volume"
WIKI/CELG,"Celgene Corp. (CELG) Prices, Dividends, Splits and Trading Volume"
WIKI/DUK,"Duke Energy Corp (DUK) Prices, Dividends, Splits and Trading Volume"
WIKI/CF,"CF Industries Holdings Inc (CF) Prices, Dividends, Splits and Trading Volume"
WIKI/CHRW,"Robinson (C.H.) Worldwide Inc. (CHRW) Prices, Dividends, Splits and Trading Volume"
WIKI/COST,"Costco Wholesale Corp (COST) Prices, Dividends, Splits and Trading Volume"
WIKI/DTE,"DTE Energy Co. (DTE) Prices, Dividends, Splits and Trading Volume"
WIKI/CTAS,"Cintas Corp. (CTAS) Prices, Dividends, Splits and Trading Volume"
WIKI/CTXS,"Citrix Systems Inc. (CTXS) Prices, Dividends, Splits and Trading Volume"
WIKI/DG,"Dollar General Corp (DG) Prices, Dividends, Splits and Trading Volume"
WIKI/ETFC,"E*TRADE Financial Corporation (ETFC) Prices, Dividends, Splits and Trading Volume"
WIKI/GS,"The Goldman Sachs Group Inc. (GS) Prices, Dividends, Splits and Trading Volume"
WIKI/FDX,"FedEx Corp (FDX) Prices, Dividends, Splits and Trading Volume"
WIKI/PFE,"Pfizer Inc (PFE) Prices, Dividends, Splits and Trading Volume"
WIKI/EOG,"EOG Resources Inc. (EOG) Prices, Dividends, Splits and Trading Volume"
WIKI/EXPE,"Expedia Inc (EXPE) Prices, Dividends, Splits and Trading Volume"
WIKI/HRL,"Hormel Foods Corp. (HRL) Prices, Dividends, Splits and Trading Volume"
WIKI/IR,"Ingersoll-Rand Plc (IR) Prices, Dividends, Splits and Trading Volume"
WIKI/HOG,"Harley-Davidson Inc (HOG) Prices, Dividends, Splits and Trading Volume"
WIKI/GD,"General Dynamics Corp. (GD) Prices, Dividends, Splits and Trading Volume"
WIKI/HRB,"H&R Block Inc (HRB) Prices, Dividends, Splits and Trading Volume"
WIKI/GLW,"Corning Inc. (GLW) Prices, Dividends, Splits and Trading Volume"
WIKI/KEY,"KeyCorp (KEY) Prices, Dividends, Splits and Trading Volume"
WIKI/KR,"Kroger Co. (KR) Prices, Dividends, Splits and Trading Volume"
WIKI/ESRX,"Express Scripts Holding Company (ESRX) Prices, Dividends, Splits and Trading Volume"
WIKI/HCP,"HCP Inc. (HCP) Prices, Dividends, Splits and Trading Volume"
WIKI/KLAC,"KLA-Tencor Corp. (KLAC) Prices, Dividends, Splits and Trading Volume"
WIKI/ITW,"Illinois Tool Works Inc. (ITW) Prices, Dividends, Splits and Trading Volume"
WIKI/MON,"Monsanto Co. (MON) Prices, Dividends, Splits and Trading Volume"
WIKI/MDT,"Medtronic PLC (MDT) Prices, Dividends, Splits and Trading Volume"
WIKI/SO,"Southern Co. (SO) Prices, Dividends, Splits and Trading Volume"
WIKI/IPG,"Interpublic Group of Companies Inc. (IPG) Prices, Dividends, Splits and Trading Volume"
WIKI/MAC,"Macerich Co. (The) (MAC) Prices, Dividends, Splits and Trading Volume"
WIKI/OMC,"Omnicom Group Inc. (OMC) Prices, Dividends, Splits and Trading Volume"
WIKI/MCK,"McKesson Corp. (MCK) Prices, Dividends, Splits and Trading Volume"
WIKI/LEN,"Lennar Corp. (LEN) Prices, Dividends, Splits and Trading Volume"
WIKI/NOV,"National Oilwell Varco Inc (NOV) Prices, Dividends, Splits and Trading Volume"
WIKI/SWK,"Stanley Works (SWK) Prices, Dividends, Splits and Trading Volume"
WIKI/PNW,"Pinnacle West Capital Corp. (PNW) Prices, Dividends, Splits and Trading Volume"
WIKI/MS,"Morgan Stanley (MS) Prices, Dividends, Splits and Trading Volume"
WIKI/MSFT,"Microsoft Corporation (MSFT) Prices, Dividends, Splits and Trading Volume"
WIKI/MSI,"Motorola Solutions Inc. (MSI) Prices, Dividends, Splits and Trading Volume"
WIKI/TAP,"Molson Coors Brewing Co. Cl B (TAP) Prices, Dividends, Splits and Trading Volume"
WIKI/MTB,"M & T Bank Corp (MTB) Prices, Dividends, Splits and Trading Volume"
WIKI/SRCL,"Stericycle Inc. (SRCL) Prices, Dividends, Splits and Trading Volume"
WIKI/PEP,"Pepsico Inc. (PEP) Prices, Dividends, Splits and Trading Volume"
WIKI/NKE,"NIKE Inc (NKE) Prices, Dividends, Splits and Trading Volume"
WIKI/YUM,"Yum! Brands Inc. (YUM) Prices, Dividends, Splits and Trading Volume"
WIKI/TSN,"Tyson Foods Inc. (TSN) Prices, Dividends, Splits and Trading Volume"
WIKI/PRU,"Prudential Financial Inc. (PRU) Prices, Dividends, Splits and Trading Volume"
WIKI/TRV,"Travelers Companies Inc (The) (TRV) Prices, Dividends, Splits and Trading Volume"
